,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Sep-31,-28.69%,-36.77%,-38.41%,-23.44%,-31.00%,-39.90%,-29.13%,0.03%,-28.72%,-23.47%,-38.44%,-39.93%,-3.70%,-24.49%,-39.51%,-5.14%
Oct-31,7.95%,14.00%,12.12%,5.33%,9.35%,15.06%,8.04%,0.10%,7.85%,5.23%,12.02%,14.96%,-1.72%,10.05%,10.48%,6.01%
Nov-31,-7.98%,-9.53%,-11.27%,-10.74%,-5.72%,-13.79%,-9.08%,0.17%,-8.15%,-10.91%,-11.44%,-13.96%,-2.85%,-3.58%,-13.41%,4.43%
Dec-31,-15.40%,-27.09%,-22.11%,-12.13%,-11.63%,-22.40%,-13.53%,0.12%,-15.52%,-12.25%,-22.23%,-22.52%,-0.75%,-9.77%,-26.79%,5.37%
Jan-32,8.84%,12.05%,11.54%,0.30%,-5.67%,3.05%,-1.58%,0.23%,8.61%,0.07%,11.31%,2.82%,-0.41%,0.37%,16.54%,-10.64%
Feb-32,2.64%,3.03%,0.51%,5.30%,7.12%,7.85%,5.46%,0.23%,2.41%,5.07%,0.28%,7.62%,1.94%,4.34%,-1.03%,6.42%
Mar-32,-10.51%,-11.93%,-17.47%,-9.38%,-12.01%,-17.74%,-11.21%,0.16%,-10.67%,-9.54%,-17.63%,-17.90%,0.36%,-8.96%,-19.17%,1.12%
Apr-32,-13.99%,-21.42%,-25.30%,-15.49%,-22.46%,-20.25%,-17.96%,0.11%,-14.10%,-15.60%,-25.41%,-20.36%,-1.88%,-12.91%,-24.43%,-0.57%
May-32,-21.08%,-23.83%,-21.80%,-19.70%,-19.05%,-28.63%,-20.51%,0.06%,-21.14%,-19.76%,-21.86%,-28.69%,-6.57%,-20.21%,-31.34%,-5.43%
Jun-32,2.27%,11.99%,23.40%,-2.06%,-1.26%,8.99%,-0.70%,0.02%,2.25%,-2.08%,23.38%,8.97%,-11.65%,2.82%,14.17%,-5.99%
Jul-32,38.21%,47.16%,56.88%,25.30%,41.36%,57.34%,33.84%,0.03%,38.18%,25.27%,56.85%,57.31%,-3.33%,22.87%,70.42%,-16.93%
Aug-32,58.37%,81.51%,86.24%,24.81%,46.16%,69.85%,37.06%,0.03%,58.34%,24.78%,86.21%,69.82%,-5.91%,27.03%,100.21%,-23.45%
Sep-32,-5.23%,-7.62%,-21.66%,-2.01%,-2.54%,-5.04%,-2.94%,0.03%,-5.26%,-2.04%,-21.69%,-5.07%,3.87%,-2.06%,-12.23%,3.54%
Oct-32,-10.44%,-22.38%,-26.50%,-7.86%,-17.96%,-24.57%,-13.17%,0.02%,-10.46%,-7.88%,-26.52%,-24.59%,4.78%,-9.46%,-24.37%,-0.12%
Nov-32,-5.63%,-11.64%,-10.69%,-2.82%,-6.10%,-12.40%,-5.88%,0.02%,-5.65%,-2.84%,-10.71%,-12.42%,2.19%,-2.79%,-14.08%,3.42%
Dec-32,-6.20%,-8.78%,-8.05%,5.55%,4.41%,2.47%,4.40%,0.01%,-6.21%,5.54%,-8.06%,2.46%,2.13%,1.39%,-14.42%,9.08%
Jan-33,6.77%,3.50%,6.67%,0.41%,3.06%,1.91%,1.25%,0.01%,6.76%,0.40%,6.66%,1.90%,1.13%,5.06%,5.12%,4.21%
Feb-33,-16.76%,-23.17%,-20.67%,-12.65%,-17.69%,-23.68%,-15.24%,-0.03%,-16.73%,-12.62%,-20.64%,-23.65%,-3.47%,-10.23%,-22.02%,-2.51%
Mar-33,9.25%,14.58%,11.98%,0.71%,6.72%,5.37%,3.29%,0.04%,9.21%,0.67%,11.94%,5.33%,-0.05%,11.24%,9.52%,10.23%
Apr-33,49.82%,57.65%,59.53%,27.90%,50.63%,70.53%,38.85%,0.10%,49.72%,27.80%,59.43%,70.43%,4.59%,33.10%,62.85%,11.94%
May-33,66.77%,84.85%,77.39%,13.85%,25.41%,30.58%,21.43%,0.04%,66.73%,13.81%,77.35%,30.54%,10.32%,25.49%,66.21%,-2.11%
Jun-33,17.36%,21.03%,25.73%,9.41%,15.75%,17.76%,13.11%,0.02%,17.34%,9.39%,25.71%,17.74%,2.37%,13.90%,27.33%,3.49%
Jul-33,-12.14%,-13.61%,-11.22%,-7.14%,-11.77%,-12.44%,-9.63%,0.02%,-12.16%,-7.16%,-11.24%,-12.46%,-3.89%,-8.56%,-8.24%,-6.47%
Aug-33,13.01%,11.16%,4.58%,7.81%,16.63%,17.36%,12.05%,0.03%,12.98%,7.78%,4.55%,17.33%,5.12%,15.64%,6.63%,16.07%
Sep-33,-10.57%,-21.51%,-21.48%,-6.15%,-13.90%,-17.21%,-10.65%,0.02%,-10.59%,-6.17%,-21.50%,-17.23%,2.02%,-6.74%,-21.34%,2.87%
Oct-33,-13.42%,-12.78%,-15.41%,-5.94%,-9.96%,-14.13%,-8.36%,0.01%,-13.43%,-5.95%,-15.42%,-14.14%,-1.95%,-6.19%,-15.24%,0.32%
Nov-33,6.81%,6.96%,2.51%,7.23%,14.82%,10.72%,9.97%,0.02%,6.79%,7.21%,2.49%,10.70%,4.22%,7.48%,6.17%,6.03%
Dec-33,4.38%,-0.84%,-1.71%,-0.69%,3.84%,5.09%,1.83%,0.02%,4.36%,-0.71%,-1.73%,5.07%,0.65%,3.13%,1.92%,2.88%
Jan-34,27.86%,38.89%,53.41%,7.95%,14.48%,20.46%,12.60%,0.05%,27.81%,7.90%,53.36%,20.41%,-2.56%,15.74%,57.49%,-10.99%
Feb-34,0.62%,1.52%,2.84%,-2.00%,-3.44%,-3.30%,-2.50%,0.02%,0.60%,-2.02%,2.82%,-3.32%,-0.84%,-2.16%,-0.61%,-2.36%
Mar-34,2.49%,-1.27%,0.84%,-0.26%,0.38%,0.06%,0.09%,0.02%,2.47%,-0.28%,0.82%,0.04%,0.80%,3.18%,-2.38%,5.15%
Apr-34,1.49%,-1.53%,-0.78%,-0.34%,-3.39%,-5.07%,-1.79%,0.01%,1.48%,-0.35%,-0.79%,-5.08%,2.30%,1.93%,-3.27%,4.06%
May-34,-9.45%,-13.08%,-14.53%,-3.83%,-8.89%,-13.34%,-7.25%,0.01%,-9.46%,-3.84%,-14.54%,-13.35%,0.96%,-6.91%,-12.88%,-1.79%
Jun-34,-0.19%,-1.28%,-2.50%,3.01%,2.06%,4.08%,2.64%,0.01%,-0.20%,3.00%,-2.51%,4.07%,1.37%,3.99%,-1.63%,5.72%
Jul-34,-18.20%,-25.49%,-27.89%,-5.24%,-13.00%,-23.95%,-10.96%,0.01%,-18.21%,-5.25%,-27.90%,-23.96%,2.59%,-8.73%,-25.11%,2.40%
Aug-34,9.16%,15.07%,13.04%,3.69%,6.79%,9.45%,5.58%,0.01%,9.15%,3.68%,13.03%,9.44%,0.54%,4.91%,11.38%,0.07%
Sep-34,-0.10%,-2.67%,-3.88%,-0.18%,-0.15%,-0.25%,-0.23%,0.01%,-0.11%,-0.19%,-3.89%,-0.26%,0.99%,-0.96%,-1.42%,-0.43%
Oct-34,-1.31%,-5.61%,-5.11%,-0.57%,-1.72%,-6.14%,-1.66%,0.01%,-1.32%,-0.58%,-5.12%,-6.15%,2.18%,1.82%,-6.89%,5.68%
Nov-34,11.31%,17.56%,16.85%,4.80%,12.15%,11.36%,8.33%,0.01%,11.30%,4.79%,16.84%,11.35%,0.95%,8.38%,14.60%,3.01%
Dec-34,3.09%,2.45%,0.74%,-0.86%,1.33%,0.86%,0.36%,0.01%,3.08%,-0.87%,0.73%,0.85%,0.49%,3.74%,-3.12%,6.12%
Jan-35,-3.36%,-4.65%,-4.35%,-1.40%,-4.58%,-8.20%,-3.45%,0.01%,-3.37%,-1.41%,-4.36%,-8.21%,0.98%,-1.36%,-4.20%,0.43%
Feb-35,-2.88%,-12.06%,-9.56%,-0.13%,-2.41%,-8.02%,-1.94%,0.02%,-2.90%,-0.15%,-9.58%,-8.04%,3.43%,2.55%,-15.99%,11.07%
Mar-35,-9.08%,-9.69%,-11.87%,-1.98%,-5.14%,-5.35%,-3.68%,0.01%,-9.09%,-1.99%,-11.88%,-5.36%,-1.15%,-2.48%,-11.81%,2.79%
Apr-35,10.61%,11.48%,12.64%,9.23%,8.15%,12.25%,9.06%,0.01%,10.60%,9.22%,12.63%,12.24%,4.71%,6.50%,8.46%,3.82%
May-35,1.75%,0.97%,-0.18%,4.23%,2.37%,4.18%,3.47%,0.01%,1.74%,4.22%,-0.19%,4.17%,2.66%,-0.39%,4.72%,-2.77%
Jun-35,5.85%,3.57%,2.72%,5.70%,6.58%,7.30%,5.93%,0.01%,5.84%,5.69%,2.71%,7.29%,4.24%,5.78%,3.67%,5.56%
Jul-35,8.05%,16.76%,13.76%,4.00%,10.41%,14.90%,7.51%,0.01%,8.04%,3.99%,13.75%,14.89%,-0.86%,5.83%,15.52%,0.00%
Aug-35,5.46%,13.11%,13.47%,0.06%,4.46%,8.51%,2.65%,0.01%,5.45%,0.05%,13.46%,8.50%,-2.99%,1.95%,19.14%,-6.69%
Sep-35,1.52%,7.91%,5.40%,1.18%,4.06%,4.13%,2.63%,0.01%,1.51%,1.17%,5.39%,4.12%,-1.02%,2.98%,-4.65%,5.85%
Oct-35,7.54%,9.39%,15.69%,5.12%,8.26%,10.80%,7.03%,0.01%,7.53%,5.11%,15.68%,10.79%,0.17%,7.02%,12.56%,1.39%
Nov-35,9.06%,15.47%,20.61%,3.43%,6.18%,6.70%,4.88%,0.02%,9.04%,3.41%,20.59%,6.68%,-0.42%,2.30%,32.66%,-14.60%
Dec-35,5.89%,7.74%,5.28%,2.26%,5.68%,7.49%,4.56%,0.01%,5.88%,2.25%,5.27%,7.48%,0.95%,3.85%,0.26%,4.27%
Jan-36,10.04%,15.79%,16.57%,5.06%,7.69%,9.43%,6.89%,0.01%,10.03%,5.05%,16.56%,9.42%,1.53%,6.77%,26.52%,-6.15%
Feb-36,3.24%,9.12%,10.01%,1.59%,3.48%,2.62%,2.49%,0.01%,3.23%,1.58%,10.00%,2.61%,-0.63%,2.62%,4.08%,0.87%
Mar-36,0.31%,0.68%,2.17%,-0.49%,2.95%,2.53%,0.99%,0.02%,0.29%,-0.51%,2.15%,2.51%,-1.52%,0.71%,0.31%,0.65%
Apr-36,-10.88%,-15.09%,-19.16%,-5.97%,-8.86%,-12.13%,-8.14%,0.02%,-10.90%,-5.99%,-19.18%,-12.15%,-1.40%,-7.97%,-18.23%,0.28%
May-36,4.17%,5.29%,9.54%,5.70%,4.39%,8.62%,5.19%,0.02%,4.15%,5.68%,9.52%,8.60%,1.60%,4.00%,5.06%,1.98%
Jun-36,0.70%,-2.22%,-1.87%,2.92%,2.76%,1.60%,2.40%,0.03%,0.67%,2.89%,-1.90%,1.57%,2.50%,1.57%,-0.52%,2.03%
Jul-36,9.29%,9.89%,7.08%,5.90%,6.90%,10.97%,6.67%,0.01%,9.28%,5.89%,7.07%,10.96%,3.85%,7.29%,11.54%,2.54%
Aug-36,2.43%,3.00%,0.14%,0.31%,1.36%,2.34%,0.99%,0.02%,2.41%,0.29%,0.12%,2.32%,0.69%,1.07%,3.61%,-0.50%
Sep-36,2.97%,5.26%,3.59%,-0.27%,1.47%,3.61%,0.98%,0.01%,2.96%,-0.28%,3.58%,3.60%,-0.65%,2.88%,4.98%,1.25%
Oct-36,6.82%,6.09%,6.82%,6.32%,8.63%,6.71%,7.12%,0.02%,6.80%,6.30%,6.80%,6.69%,4.54%,6.38%,5.42%,5.18%
Nov-36,9.64%,9.91%,14.19%,3.11%,2.48%,1.71%,3.27%,0.01%,9.63%,3.10%,14.18%,1.70%,3.36%,6.02%,12.83%,1.51%
Dec-36,2.23%,4.42%,6.83%,-1.72%,0.96%,4.17%,0.21%,0.00%,2.23%,-1.72%,6.83%,4.17%,-2.86%,-0.73%,3.44%,-2.28%
Jan-37,6.30%,12.98%,10.71%,2.67%,3.51%,5.11%,3.35%,0.01%,6.29%,2.66%,10.70%,5.10%,1.31%,3.23%,13.83%,-2.00%
Feb-37,1.14%,3.75%,8.58%,-0.70%,2.00%,4.38%,1.09%,0.02%,1.12%,-0.72%,8.56%,4.36%,-3.40%,3.01%,3.68%,1.93%
Mar-37,-0.53%,1.91%,-1.98%,-2.02%,0.90%,3.54%,-0.27%,0.01%,-0.54%,-2.03%,-1.99%,3.53%,-2.31%,-1.01%,6.18%,-4.26%
Apr-37,-7.55%,-12.18%,-15.31%,-5.68%,-8.00%,-10.58%,-7.36%,0.03%,-7.58%,-5.71%,-15.34%,-10.61%,-1.03%,-8.85%,-15.55%,-3.31%
