,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Feb-41,-2.44%,-1.97%,-3.16%,-2.19%,-0.04%,-1.38%,-1.43%,-0.01%,-2.43%,-2.18%,-3.15%,-1.37%,-1.51%,-0.57%,-2.96%,0.77%
Mar-41,2.01%,1.24%,1.58%,1.34%,0.25%,0.11%,0.84%,0.01%,2.00%,1.33%,1.57%,0.10%,1.50%,1.08%,-2.37%,2.50%
Apr-41,-4.38%,-7.57%,-7.33%,-4.38%,-6.94%,-6.06%,-5.46%,-0.01%,-4.37%,-4.37%,-7.32%,-6.05%,-1.83%,-3.76%,-10.41%,0.10%
May-41,0.56%,2.01%,0.93%,0.66%,1.79%,3.74%,1.39%,0.00%,0.56%,0.66%,0.93%,3.74%,-0.59%,0.44%,-1.64%,1.33%
Jun-41,4.88%,7.75%,8.63%,6.02%,5.48%,5.56%,5.83%,0.00%,4.88%,6.02%,8.63%,5.56%,3.15%,4.38%,7.51%,2.11%
Jul-41,10.11%,12.96%,21.34%,4.27%,6.65%,9.67%,5.87%,0.03%,10.08%,4.24%,21.31%,9.64%,0.36%,8.63%,25.33%,-0.85%
Aug-41,0.25%,-1.50%,-2.02%,0.00%,0.12%,-1.35%,-0.17%,0.01%,0.24%,-0.01%,-2.03%,-1.36%,0.98%,-0.23%,-0.86%,0.10%
Sep-41,-0.06%,-1.20%,-6.14%,-0.27%,-0.69%,-3.77%,-0.87%,0.01%,-0.07%,-0.28%,-6.15%,-3.78%,2.29%,-0.82%,-3.39%,0.50%
Oct-41,-4.28%,-6.94%,-8.51%,-4.88%,-5.71%,-5.64%,-5.25%,0.00%,-4.28%,-4.88%,-8.51%,-5.64%,-2.16%,-4.12%,-9.33%,-0.90%
Nov-41,-2.17%,-2.93%,-4.85%,-1.97%,-1.76%,-1.93%,-1.92%,0.00%,-2.17%,-1.97%,-4.85%,-1.93%,-0.82%,0.05%,-10.40%,4.76%
Dec-41,-8.21%,-10.06%,-11.43%,-5.01%,-5.01%,-2.32%,-4.87%,0.01%,-8.22%,-5.02%,-11.44%,-2.33%,-4.44%,-4.86%,-14.87%,0.75%
Jan-42,9.87%,11.93%,21.80%,-1.80%,3.28%,3.90%,0.79%,0.02%,9.85%,-1.82%,21.78%,3.88%,-2.65%,7.21%,18.38%,0.53%
Feb-42,-1.11%,-1.13%,-1.79%,-3.84%,-0.80%,-0.63%,-2.46%,0.01%,-1.12%,-3.85%,-1.80%,-0.64%,-2.76%,-1.12%,-1.51%,-0.68%
Mar-42,-2.78%,-4.26%,-9.01%,-8.19%,-4.25%,-5.61%,-6.58%,0.01%,-2.79%,-8.20%,-9.02%,-5.62%,-3.57%,-2.98%,-6.94%,-0.56%
Apr-42,-2.80%,-5.23%,-6.83%,-4.29%,-4.34%,-4.37%,-4.37%,0.01%,-2.81%,-4.30%,-6.84%,-4.38%,-1.34%,-2.97%,-7.22%,-0.44%
May-42,3.94%,2.03%,-2.61%,7.99%,5.33%,0.74%,5.94%,0.03%,3.91%,7.96%,-2.64%,0.71%,7.75%,2.48%,2.67%,1.84%
Jun-42,2.63%,1.23%,2.45%,2.94%,3.32%,0.56%,2.69%,0.02%,2.61%,2.92%,2.43%,0.54%,2.50%,1.42%,0.04%,1.78%
Jul-42,3.80%,4.98%,6.06%,2.59%,3.81%,6.65%,3.51%,0.03%,3.77%,2.56%,6.03%,6.62%,-0.11%,4.07%,5.56%,2.65%
Aug-42,2.96%,2.51%,0.94%,1.80%,1.58%,2.52%,1.80%,0.03%,2.93%,1.77%,0.91%,2.49%,1.54%,3.07%,2.36%,2.83%
Sep-42,1.82%,3.56%,9.41%,2.19%,2.55%,4.12%,2.61%,0.03%,1.79%,2.16%,9.38%,4.09%,-1.39%,1.08%,5.44%,-1.06%
Oct-42,6.60%,12.86%,18.92%,5.56%,7.14%,11.93%,6.82%,0.03%,6.57%,5.53%,18.89%,11.90%,-4.32%,6.04%,18.17%,-4.94%
Nov-42,0.76%,-3.21%,-8.50%,1.58%,-1.49%,-1.14%,0.15%,0.03%,0.73%,1.55%,-8.53%,-1.17%,4.27%,0.85%,-5.60%,4.34%
Dec-42,2.30%,3.64%,2.94%,4.58%,5.70%,7.31%,5.12%,0.03%,2.27%,4.55%,2.91%,7.28%,-0.18%,3.79%,1.30%,3.29%
Jan-43,12.15%,18.30%,32.77%,5.82%,6.91%,10.84%,7.13%,0.03%,12.12%,5.79%,32.74%,10.81%,-5.23%,10.32%,24.44%,-4.04%
Feb-43,7.66%,11.83%,26.54%,5.07%,5.87%,10.34%,6.15%,0.03%,7.63%,5.04%,26.51%,10.31%,-5.27%,8.09%,17.98%,-2.10%
Mar-43,9.31%,16.24%,12.31%,3.67%,6.43%,13.63%,6.01%,0.03%,9.28%,3.64%,12.28%,13.60%,-2.22%,8.81%,17.28%,-0.76%
Apr-43,0.23%,3.42%,9.95%,0.40%,-0.60%,5.05%,0.81%,0.03%,0.20%,0.37%,9.92%,5.02%,-4.40%,2.42%,6.89%,-1.40%
May-43,5.49%,10.11%,17.93%,5.04%,5.99%,7.10%,5.74%,0.03%,5.46%,5.01%,17.90%,7.07%,-2.16%,6.20%,9.01%,1.33%
Jun-43,2.25%,0.87%,-2.57%,2.26%,1.14%,1.78%,1.82%,0.03%,2.22%,2.23%,-2.60%,1.75%,2.36%,1.93%,0.93%,1.77%
Jul-43,-4.14%,-8.45%,-12.50%,-4.05%,-4.25%,-8.00%,-4.77%,0.03%,-4.17%,-4.08%,-12.53%,-8.03%,1.65%,-5.46%,-7.84%,-2.40%
Aug-43,-0.15%,1.17%,-0.71%,1.39%,1.04%,2.21%,1.30%,0.03%,-0.18%,1.36%,-0.74%,2.18%,-0.02%,1.77%,-0.59%,2.30%
Sep-43,2.42%,4.56%,5.08%,2.22%,2.18%,3.32%,2.40%,0.03%,2.39%,2.19%,5.05%,3.29%,0.06%,3.28%,5.01%,1.20%
Oct-43,0.79%,0.33%,-2.18%,-1.23%,-0.92%,-1.26%,-1.15%,0.03%,0.76%,-1.26%,-2.21%,-1.29%,0.72%,-0.18%,-0.53%,0.05%
Nov-43,-6.08%,-10.05%,-16.32%,-4.68%,-5.92%,-11.08%,-5.91%,0.03%,-6.11%,-4.71%,-16.35%,-11.11%,2.27%,-5.94%,-14.06%,0.36%
Dec-43,8.01%,10.82%,16.33%,4.90%,6.93%,11.77%,6.36%,0.03%,7.98%,4.87%,16.30%,11.74%,-1.29%,6.96%,14.80%,0.28%
Jan-44,3.95%,5.17%,8.27%,1.17%,2.12%,2.76%,1.74%,0.03%,3.92%,1.14%,8.24%,2.73%,-0.21%,3.23%,7.97%,-0.40%
Feb-44,1.24%,1.44%,2.63%,0.30%,0.42%,0.68%,0.37%,0.03%,1.21%,0.27%,2.60%,0.65%,-0.06%,2.23%,1.66%,1.60%
Mar-44,2.49%,5.46%,7.80%,2.04%,2.50%,4.26%,2.46%,0.02%,2.47%,2.02%,7.78%,4.24%,-0.96%,3.84%,5.95%,1.30%
Apr-44,-1.79%,-3.32%,-5.56%,-1.10%,-2.02%,-2.92%,-1.69%,0.03%,-1.82%,-1.13%,-5.59%,-2.95%,0.80%,-1.87%,-4.95%,0.34%
May-44,6.01%,7.00%,7.43%,4.30%,5.61%,6.69%,5.07%,0.03%,5.98%,4.27%,7.40%,6.66%,1.26%,5.56%,7.12%,2.54%
Jun-44,7.02%,11.58%,16.15%,4.21%,6.01%,9.99%,5.49%,0.03%,6.99%,4.18%,16.12%,9.96%,-1.42%,7.49%,23.41%,-3.21%
Jul-44,0.68%,-2.12%,-1.75%,-1.42%,-1.49%,-1.93%,-1.49%,0.03%,0.65%,-1.45%,-1.78%,-1.96%,0.61%,-0.36%,-3.83%,1.35%
Aug-44,2.55%,3.50%,6.28%,1.19%,1.44%,3.35%,1.57%,0.03%,2.52%,1.16%,6.25%,3.32%,-0.66%,2.82%,6.75%,-0.20%
Sep-44,0.77%,0.29%,-2.19%,0.33%,-0.34%,-0.51%,0.01%,0.02%,0.75%,0.31%,-2.21%,-0.53%,1.21%,0.94%,-1.30%,1.59%
Oct-44,0.87%,0.24%,-2.76%,0.71%,-0.21%,-1.93%,0.16%,0.03%,0.84%,0.68%,-2.79%,-1.96%,2.12%,1.19%,-2.98%,2.65%
Nov-44,2.03%,3.05%,3.49%,1.35%,2.17%,2.21%,1.71%,0.03%,2.00%,1.32%,3.46%,2.18%,0.19%,2.32%,1.74%,1.64%
Dec-44,5.29%,8.44%,10.46%,2.51%,4.77%,8.35%,4.03%,0.02%,5.27%,2.49%,10.44%,8.33%,-1.27%,5.28%,15.56%,-1.83%
Jan-45,3.08%,5.36%,7.34%,1.13%,2.79%,2.82%,2.01%,0.03%,3.05%,1.10%,7.31%,2.79%,-0.31%,4.01%,6.29%,1.23%
Feb-45,7.81%,10.24%,11.90%,5.08%,6.86%,9.08%,6.23%,0.02%,7.79%,5.06%,11.88%,9.06%,1.23%,7.62%,10.40%,3.06%
Mar-45,-3.32%,-6.46%,-8.65%,-2.96%,-4.60%,-6.28%,-3.89%,0.02%,-3.34%,-2.98%,-8.67%,-6.30%,0.56%,-3.65%,-9.24%,0.60%
Apr-45,7.04%,10.01%,11.51%,6.75%,8.39%,12.33%,7.80%,0.03%,7.01%,6.72%,11.48%,12.30%,1.31%,7.39%,10.46%,2.59%
May-45,2.82%,2.30%,6.57%,1.88%,0.93%,2.44%,1.73%,0.03%,2.79%,1.85%,6.54%,2.41%,0.46%,1.91%,5.69%,-0.70%
Jun-45,0.45%,3.02%,11.97%,-1.00%,0.47%,5.69%,0.39%,0.02%,0.43%,-1.02%,11.95%,5.67%,-4.38%,0.61%,8.96%,-3.32%
Jul-45,-2.46%,-4.50%,-4.92%,-0.72%,-3.23%,-5.73%,-2.17%,0.03%,-2.49%,-0.75%,-4.95%,-5.76%,0.97%,-2.09%,-3.03%,-0.62%
Aug-45,7.16%,8.24%,4.11%,5.92%,7.04%,6.68%,6.20%,0.03%,7.13%,5.89%,4.08%,6.65%,4.52%,6.04%,5.90%,3.03%
Sep-45,6.35%,7.80%,5.65%,4.20%,4.66%,6.95%,4.77%,0.03%,6.32%,4.17%,5.62%,6.92%,2.54%,5.55%,6.81%,2.12%
Oct-45,7.17%,5.66%,9.24%,3.16%,3.40%,6.88%,3.89%,0.03%,7.14%,3.13%,9.21%,6.85%,1.55%,6.39%,9.74%,1.52%
Nov-45,8.02%,11.13%,11.75%,2.90%,7.75%,9.86%,5.39%,0.02%,8.00%,2.88%,11.73%,9.84%,0.36%,8.93%,13.91%,1.68%
Dec-45,2.51%,1.92%,3.02%,0.95%,0.24%,3.64%,1.20%,0.03%,2.48%,0.92%,2.99%,3.61%,0.08%,1.71%,2.56%,0.34%
Jan-46,6.78%,10.29%,16.22%,5.79%,5.63%,7.88%,6.24%,0.03%,6.75%,5.76%,16.19%,7.85%,1.28%,9.22%,13.27%,2.13%
Feb-46,-5.17%,-7.28%,-8.90%,-4.74%,-6.63%,-8.13%,-5.83%,0.03%,-5.20%,-4.77%,-8.93%,-8.16%,-1.09%,-5.30%,-8.44%,-0.68%
Mar-46,7.07%,6.41%,1.49%,5.17%,7.62%,5.95%,5.87%,0.03%,7.04%,5.14%,1.46%,5.92%,4.53%,6.30%,2.83%,4.26%
Apr-46,5.02%,5.64%,6.09%,4.33%,4.83%,1.95%,4.23%,0.03%,4.99%,4.30%,6.06%,1.92%,2.97%,8.00%,3.98%,5.23%
May-46,6.40%,6.56%,5.96%,3.00%,4.50%,6.03%,3.93%,0.03%,6.37%,2.97%,5.93%,6.00%,1.53%,5.64%,6.71%,1.49%
Jun-46,-4.37%,-5.38%,-5.02%,-2.79%,-5.29%,-5.47%,-3.89%,0.03%,-4.40%,-2.82%,-5.05%,-5.50%,-0.82%,-4.45%,-4.76%,-1.44%
Jul-46,-2.97%,-4.93%,-6.39%,-1.86%,-2.95%,-4.75%,-2.69%,0.03%,-3.00%,-1.89%,-6.42%,-4.78%,0.60%,-1.93%,-7.30%,2.25%
Aug-46,-5.62%,-8.32%,-10.78%,-5.74%,-7.10%,-7.59%,-6.44%,0.03%,-5.65%,-5.77%,-10.81%,-7.62%,-1.00%,-5.94%,-10.34%,0.16%
Sep-46,-11.91%,-15.21%,-18.05%,-8.20%,-10.76%,-15.68%,-10.17%,0.03%,-11.94%,-8.23%,-18.08%,-15.71%,-0.83%,-10.75%,-19.44%,0.73%
Oct-46,-0.25%,-1.70%,-0.58%,-1.57%,-1.46%,-1.32%,-1.44%,0.03%,-0.28%,-1.60%,-0.61%,-1.35%,-0.51%,0.56%,-0.81%,0.94%
Nov-46,0.13%,0.89%,-1.54%,0.28%,0.25%,-1.81%,-0.01%,0.03%,0.10%,0.25%,-1.57%,-1.84%,1.25%,0.86%,-2.68%,2.21%
Dec-46,5.00%,4.94%,1.39%,4.27%,6.84%,4.91%,4.96%,0.03%,4.97%,4.24%,1.36%,4.88%,3.05%,3.92%,2.32%,2.30%
Jan-47,3.69%,4.01%,5.86%,1.63%,0.65%,0.01%,1.25%,0.03%,3.66%,1.60%,5.83%,-0.02%,1.08%,0.13%,7.98%,-4.39%
Feb-47,0.02%,-0.64%,-1.22%,-0.73%,-1.54%,-1.29%,-1.08%,0.03%,-0.01%,-0.76%,-1.25%,-1.32%,0.36%,-0.10%,-0.96%,0.45%
Mar-47,-2.69%,-2.93%,-5.05%,-0.86%,-2.04%,-3.64%,-1.67%,0.03%,-2.72%,-0.89%,-5.08%,-3.67%,0.89%,-2.13%,-5.31%,1.06%
Apr-47,-6.40%,-9.39%,-12.85%,-3.16%,-6.18%,-8.25%,-4.80%,0.03%,-6.43%,-3.19%,-12.88%,-8.28%,1.53%,-5.58%,-14.06%,2.83%
May-47,-2.83%,-4.99%,-6.26%,0.06%,-0.98%,-4.21%,-0.97%,0.03%,-2.86%,0.03%,-6.29%,-4.24%,1.89%,-2.05%,-6.92%,1.95%
Jun-47,3.77%,6.41%,6.15%,5.01%,6.25%,5.35%,5.29%,0.03%,3.74%,4.98%,6.12%,5.32%,1.37%,4.01%,4.94%,0.93%
Jul-47,5.46%,6.12%,8.04%,2.99%,5.19%,7.31%,4.14%,0.03%,5.43%,2.96%,8.01%,7.28%,-0.42%,5.01%,8.28%,-0.23%
Aug-47,-0.48%,-1.09%,-1.50%,-1.47%,-2.09%,-2.67%,-1.74%,0.03%,-0.51%,-1.50%,-1.53%,-2.70%,0.22%,0.65%,-3.80%,2.80%
Sep-47,1.53%,0.11%,1.78%,-0.91%,-0.70%,1.63%,-0.54%,0.06%,1.47%,-0.97%,1.72%,1.57%,-0.92%,0.68%,0.89%,0.12%
Oct-47,3.31%,4.51%,1.80%,2.06%,3.44%,2.71%,2.47%,0.06%,3.25%,2.00%,1.74%,2.65%,1.40%,3.81%,4.75%,0.75%
Nov-47,-2.28%,-3.88%,-4.36%,-1.10%,-2.04%,-3.72%,-1.97%,0.06%,-2.34%,-1.16%,-4.42%,-3.78%,0.78%,-0.27%,-7.63%,4.21%
Dec-47,1.14%,1.51%,4.40%,2.57%,4.82%,3.47%,3.00%,0.08%,1.06%,2.49%,4.32%,3.39%,-0.43%,3.60%,0.45%,3.07%
Jan-48,-1.84%,-1.32%,1.09%,-4.01%,-4.77%,-3.31%,-3.93%,0.07%,-1.91%,-4.08%,1.02%,-3.38%,-2.57%,-3.26%,3.04%,-4.84%
Feb-48,-4.62%,-6.89%,-8.79%,-3.59%,-4.47%,-6.94%,-4.38%,0.07%,-4.69%,-3.66%,-8.86%,-7.01%,0.77%,-3.80%,-9.58%,2.47%
Mar-48,6.32%,10.32%,11.34%,6.25%,10.93%,12.82%,8.07%,0.09%,6.23%,6.16%,11.25%,12.73%,-1.33%,7.28%,12.16%,-0.77%
Apr-48,2.04%,2.47%,5.02%,3.38%,4.24%,5.04%,3.65%,0.08%,1.96%,3.30%,4.94%,4.96%,-0.38%,4.62%,2.41%,2.89%
May-48,7.61%,10.68%,9.67%,6.36%,8.58%,9.45%,7.30%,0.08%,7.53%,6.28%,9.59%,9.37%,1.11%,7.40%,13.24%,-1.38%
Jun-48,-1.12%,-1.57%,-1.80%,0.34%,0.05%,-1.12%,-0.10%,0.09%,-1.21%,0.25%,-1.89%,-1.21%,0.60%,-0.25%,-3.09%,1.69%
Jul-48,-3.98%,-5.23%,-7.65%,-4.26%,-6.02%,-6.61%,-5.09%,0.08%,-4.06%,-4.34%,-7.73%,-6.69%,0.26%,-4.12%,-7.99%,1.06%
Aug-48,0.08%,-1.51%,-1.06%,0.20%,1.05%,-0.03%,0.25%,0.09%,-0.01%,0.11%,-1.15%,-0.12%,0.48%,1.14%,-1.72%,2.16%
Sep-48,-2.83%,-4.98%,-7.36%,-2.01%,-3.11%,-5.92%,-2.97%,0.04%,-2.87%,-2.05%,-7.40%,-5.96%,1.84%,-2.59%,-8.47%,2.73%
Oct-48,3.41%,5.07%,6.53%,5.94%,6.12%,7.05%,5.96%,0.04%,3.37%,5.90%,6.49%,7.01%,0.71%,4.43%,6.23%,0.41%
Nov-48,-7.44%,-12.29%,-14.79%,-7.95%,-10.09%,-13.52%,-9.30%,0.04%,-7.48%,-7.99%,-14.83%,-13.56%,1.18%,-8.65%,-15.70%,1.38%
Dec-48,0.38%,-0.23%,1.54%,3.49%,3.06%,4.89%,3.26%,0.04%,0.34%,3.45%,1.50%,4.85%,-0.06%,2.09%,-2.01%,3.36%
Jan-49,3.06%,2.89%,-0.30%,0.30%,-0.17%,-0.42%,0.23%,0.10%,2.96%,0.20%,-0.40%,-0.52%,1.99%,1.19%,4.21%,-1.55%
Feb-49,-3.67%,-4.92%,-7.35%,-2.49%,-2.85%,-4.16%,-2.93%,0.09%,-3.76%,-2.58%,-7.44%,-4.25%,0.66%,-4.48%,-7.69%,0.58%
Mar-49,5.48%,6.22%,10.41%,3.12%,4.86%,6.52%,4.04%,0.10%,5.38%,3.02%,10.31%,6.42%,-1.34%,4.94%,8.85%,-0.85%
Apr-49,-1.53%,-3.52%,-6.57%,-1.03%,-2.68%,-2.94%,-1.87%,0.09%,-1.62%,-1.12%,-6.66%,-3.03%,1.76%,-2.64%,-6.65%,1.54%
May-49,-2.49%,-5.26%,-9.89%,-2.04%,-3.41%,-5.27%,-2.94%,0.10%,-2.59%,-2.14%,-9.99%,-5.37%,2.53%,-2.67%,-10.92%,4.10%
Jun-49,-0.98%,-0.96%,-1.53%,0.36%,0.55%,-0.40%,0.10%,0.10%,-1.08%,0.26%,-1.63%,-0.50%,0.28%,-1.09%,-0.23%,-0.99%
Jul-49,5.41%,6.99%,7.00%,5.27%,5.86%,6.97%,5.54%,0.09%,5.32%,5.18%,6.91%,6.88%,1.30%,5.75%,7.34%,1.50%
Aug-49,3.36%,3.09%,0.41%,2.80%,2.21%,3.75%,2.60%,0.09%,3.27%,2.71%,0.32%,3.66%,1.97%,2.93%,1.51%,2.12%
Sep-49,3.16%,4.63%,6.99%,2.44%,3.68%,4.93%,3.09%,0.09%,3.07%,2.35%,6.90%,4.84%,-0.90%,2.11%,8.88%,-3.28%
Oct-49,3.93%,4.53%,4.50%,3.10%,3.67%,2.85%,3.14%,0.09%,3.84%,3.01%,4.41%,2.76%,1.54%,3.58%,6.94%,-0.44%
Nov-49,0.75%,0.90%,-1.06%,2.25%,1.63%,0.92%,1.82%,0.08%,0.67%,2.17%,-1.14%,0.84%,1.73%,3.01%,-3.86%,5.56%
Dec-49,6.34%,7.77%,10.45%,4.10%,6.42%,6.51%,5.13%,0.09%,6.25%,4.01%,10.36%,6.42%,0.24%,5.55%,11.02%,-0.86%
Jan-50,3.70%,4.21%,7.59%,1.23%,1.57%,3.24%,1.70%,0.09%,3.61%,1.14%,7.50%,3.15%,-0.75%,2.79%,7.90%,-1.73%
Feb-50,1.39%,1.32%,1.73%,1.51%,1.87%,0.64%,1.48%,0.09%,1.30%,1.42%,1.64%,0.55%,0.87%,2.29%,2.13%,1.14%
Mar-50,-0.15%,-2.25%,-0.59%,1.66%,0.88%,3.00%,1.26%,0.10%,-0.25%,1.56%,-0.69%,2.90%,-0.02%,0.24%,-1.64%,1.21%
Apr-50,2.31%,5.64%,9.65%,3.45%,4.01%,7.86%,3.94%,0.09%,2.22%,3.36%,9.56%,7.77%,-2.47%,3.27%,11.05%,-3.06%
May-50,3.68%,3.77%,-0.09%,4.54%,4.94%,4.07%,4.31%,0.10%,3.58%,4.44%,-0.19%,3.97%,3.35%,3.88%,1.41%,3.31%
Jun-50,-5.83%,-8.37%,-10.01%,-5.33%,-5.48%,-7.55%,-5.94%,0.10%,-5.93%,-5.43%,-10.11%,-7.65%,-0.61%,-5.98%,-9.67%,-0.54%
Jul-50,2.95%,6.55%,12.73%,-0.78%,3.60%,6.29%,1.36%,0.10%,2.85%,-0.88%,12.63%,6.19%,-5.18%,5.30%,11.92%,-1.64%
Aug-50,5.98%,6.24%,3.01%,5.23%,4.86%,3.86%,4.85%,0.10%,5.88%,5.13%,2.91%,3.76%,4.09%,6.74%,3.53%,4.98%
Sep-50,4.62%,5.62%,4.67%,4.47%,5.60%,4.92%,4.81%,0.10%,4.52%,4.37%,4.57%,4.82%,1.83%,5.28%,3.74%,3.13%
Oct-50,0.44%,0.02%,-0.72%,0.48%,-0.36%,-1.25%,-0.18%,0.12%,0.32%,0.36%,-0.84%,-1.37%,1.17%,0.26%,-1.90%,1.46%
Nov-50,2.30%,1.95%,5.87%,1.79%,4.06%,5.89%,2.76%,0.11%,2.19%,1.68%,5.76%,5.78%,-1.79%,3.37%,2.74%,1.77%
Dec-50,4.74%,8.72%,15.28%,3.87%,6.38%,10.24%,5.54%,0.11%,4.63%,3.76%,15.17%,10.13%,-3.86%,6.40%,13.67%,-2.14%
Jan-51,7.96%,8.70%,8.52%,4.85%,6.34%,7.26%,5.70%,0.13%,7.83%,4.72%,8.39%,7.13%,1.98%,9.01%,8.02%,4.25%
Feb-51,2.00%,1.21%,0.19%,2.06%,0.92%,0.64%,1.41%,0.10%,1.90%,1.96%,0.09%,0.54%,1.97%,0.77%,-0.07%,0.81%
Mar-51,-2.01%,-3.58%,-5.94%,-1.19%,-2.66%,-3.45%,-2.15%,0.11%,-2.12%,-1.30%,-6.05%,-3.56%,1.16%,-3.80%,-4.39%,-1.19%
Apr-51,2.62%,4.45%,5.12%,4.22%,5.82%,7.42%,4.86%,0.13%,2.49%,4.09%,4.99%,7.29%,-0.39%,4.80%,3.27%,2.70%
May-51,-1.21%,-2.69%,-5.94%,-1.73%,-2.67%,-3.52%,-2.34%,0.12%,-1.33%,-1.85%,-6.06%,-3.64%,1.33%,-1.67%,-5.66%,1.72%
Jun-51,-3.27%,-4.99%,-9.48%,-1.82%,-2.29%,-4.61%,-2.62%,0.12%,-3.39%,-1.94%,-9.60%,-4.73%,1.52%,-5.35%,-4.78%,-2.31%
Jul-51,2.98%,6.57%,8.18%,5.42%,8.61%,10.63%,6.94%,0.13%,2.85%,5.29%,8.05%,10.50%,-1.42%,6.07%,5.42%,2.50%
Aug-51,4.25%,5.75%,6.52%,4.68%,4.34%,3.01%,4.27%,0.13%,4.12%,4.55%,6.39%,2.88%,2.18%,5.57%,5.34%,2.00%
Sep-51,1.96%,2.42%,3.97%,0.43%,0.55%,1.76%,0.70%,0.12%,1.84%,0.31%,3.85%,1.64%,-0.47%,2.22%,2.39%,0.62%
Oct-51,-1.21%,-2.57%,-3.87%,-2.48%,-2.28%,-2.30%,-2.53%,0.16%,-1.37%,-2.64%,-4.03%,-2.46%,-0.26%,-1.93%,-3.31%,0.26%
Nov-51,0.66%,0.89%,0.18%,0.69%,0.62%,0.73%,0.57%,0.11%,0.55%,0.58%,0.07%,0.62%,0.41%,1.21%,-0.13%,1.20%
Dec-51,0.68%,0.85%,0.21%,3.83%,3.62%,2.93%,3.33%,0.12%,0.56%,3.71%,0.09%,2.81%,1.46%,0.71%,-0.37%,0.87%
Jan-52,1.38%,2.29%,1.43%,1.49%,1.37%,1.75%,1.45%,0.15%,1.23%,1.34%,1.28%,1.60%,0.53%,1.47%,0.67%,0.90%
Feb-52,-0.90%,-2.24%,-3.04%,-2.01%,-3.61%,-2.47%,-2.62%,0.12%,-1.02%,-2.13%,-3.16%,-2.59%,0.02%,-2.12%,-4.27%,0.71%
Mar-52,2.13%,2.54%,2.59%,4.09%,5.93%,4.88%,4.44%,0.11%,2.02%,3.98%,2.48%,4.77%,1.02%,3.32%,1.59%,2.04%
Apr-52,-2.63%,-4.83%,-6.13%,-3.48%,-6.04%,-6.65%,-4.97%,0.12%,-2.75%,-3.60%,-6.25%,-6.77%,0.67%,-3.82%,-5.77%,0.19%
May-52,1.98%,2.56%,1.23%,2.87%,4.09%,3.22%,3.20%,0.13%,1.85%,2.74%,1.10%,3.09%,1.24%,1.65%,1.06%,0.86%
Jun-52,2.24%,2.41%,4.29%,3.41%,5.14%,4.00%,3.83%,0.15%,2.09%,3.26%,4.14%,3.85%,0.36%,3.00%,3.22%,0.54%
Jul-52,1.53%,1.31%,-0.28%,1.74%,0.75%,-0.72%,0.91%,0.15%,1.38%,1.59%,-0.43%,-0.87%,2.28%,1.64%,0.38%,1.33%
Aug-52,1.04%,0.75%,-1.63%,-0.11%,-1.39%,-1.14%,-0.76%,0.15%,0.89%,-0.26%,-1.78%,-1.29%,1.48%,0.34%,-1.72%,1.60%
Sep-52,-0.52%,-1.81%,-2.14%,-1.13%,-2.92%,-2.09%,-2.03%,0.16%,-0.68%,-1.29%,-2.30%,-2.25%,0.41%,-1.31%,-3.28%,1.12%
Oct-52,-0.81%,-2.23%,-1.79%,-0.07%,-0.48%,-1.18%,-0.66%,0.14%,-0.95%,-0.21%,-1.93%,-1.32%,0.42%,-0.35%,-2.43%,1.47%
Nov-52,4.97%,5.60%,7.11%,6.03%,6.01%,6.69%,5.94%,0.10%,4.87%,5.93%,7.01%,6.59%,1.83%,5.60%,4.47%,2.17%
Dec-52,1.32%,1.90%,2.63%,2.43%,4.14%,2.80%,2.93%,0.16%,1.16%,2.27%,2.47%,2.64%,0.24%,2.54%,1.65%,1.26%
Jan-53,4.13%,3.21%,4.26%,0.33%,-1.27%,-0.99%,-0.34%,0.16%,3.97%,0.17%,4.10%,-1.15%,1.77%,4.15%,3.65%,1.22%
Feb-53,1.93%,1.78%,1.85%,-0.14%,-0.61%,0.15%,-0.27%,0.14%,1.79%,-0.28%,1.71%,0.01%,0.45%,1.13%,1.04%,0.30%
Mar-53,-0.65%,-1.88%,-3.19%,-1.34%,-1.21%,-1.32%,-1.43%,0.18%,-0.83%,-1.52%,-3.37%,-1.50%,0.31%,-1.76%,-2.04%,-0.13%
Apr-53,-1.49%,-2.22%,-2.79%,-1.58%,-3.65%,-3.11%,-2.83%,0.16%,-1.65%,-1.74%,-2.95%,-3.27%,0.15%,-1.62%,-4.12%,1.75%
May-53,1.29%,0.46%,0.06%,0.62%,0.74%,0.81%,0.52%,0.17%,1.12%,0.45%,-0.11%,0.64%,0.82%,2.18%,-0.70%,2.83%
Jun-53,-2.23%,-3.76%,-5.08%,-1.38%,-1.46%,-2.52%,-1.89%,0.18%,-2.41%,-1.56%,-5.26%,-2.70%,0.35%,-2.72%,-4.53%,1.04%
Jul-53,1.44%,1.23%,1.42%,2.35%,2.99%,1.91%,2.40%,0.15%,1.29%,2.20%,1.27%,1.76%,1.11%,1.01%,2.03%,-0.71%
Aug-53,-2.21%,-6.04%,-9.35%,-2.25%,-5.18%,-6.84%,-4.52%,0.17%,-2.38%,-2.42%,-9.52%,-7.01%,3.03%,-3.69%,-8.46%,3.52%
